video_id,community,video_bias,participation,betweenness,degree,bridge_score
3PSxyaHCiiw,0,Lean Right,0.6208394801974391,0.0008818188931821599,1120,1.996663780547743
4OfRTAPYebk,1,Lean Right,0.48959279935131483,0.00014440098873239876,430,-0.29563477415436024
714Te5r0rE8,2,Left,0.700519457771351,0.001292552518312605,1224,3.315319536656694
96sN-WC4Blo,1,Lean Right,0.6546299478938646,0.0004143927424738752,533,1.2883908011862966
E0uLbeQlwjw,3,Left,0.19358024208092983,0.0006012756626330925,453,-1.2775691673683933
ErO_8-03meE,1,Lean Right,0.5979714423938429,0.0001904559990843085,476,0.4853080626447494
IE82KuCI0Q0,0,Lean Right,0.6373567863481195,0.0012931580884280273,1485,2.9144084517906217
Ivp0FABeyhE,2,Left,0.5378564353288968,0.0007261738039062575,919,1.160901988696187
Kz3TSon178E,0,Lean Right,0.551498145847612,0.00017508537813156876,614,0.15908455922811848
LSL0zO7xDxo,1,Lean Right,0.519305581579298,0.0018603480428812215,1607,3.283340443016274
M4dC59TyamY,1,Lean Right,0.6260510952145562,1.9117319892260962e-05,244,0.3255933311562947
OHUiMAy1TK8,1,Lean Right,0.30875651557666517,2.7518534126201343e-05,383,-1.6777769132237332
P-V6k4GHah8,3,Lean Right,0.7238468889894876,0.0,23,0.9104168743669347
PafvqSJtX_U,1,Lean Right,0.6442486701180975,0.00012060261731267458,179,0.6419251323874184
UB-t5316BAE,0,Lean Right,0.5239604407842212,1.7611763847821452e-05,151,-0.3273122896649831
VNf6CZA1eVQ,2,Center,0.7107441858872496,0.00016196313917862747,232,1.1469569610436663
Xt_WnxbWAh8,2,Left,0.6273068674198781,0.00012037102636779468,272,0.5336124093257366
_QEh_hZhuSE,1,Lean Right,0.6856268994775574,0.0010811818440255837,1129,2.8029519535205187
bI3sXaDFHS4,2,Left,0.6786948261419099,0.0001614852643533442,327,0.9419796981813254
bmEX6IB5xcc,1,Lean Right,0.6571200130295178,0.0004316498726181423,567,1.3383341962290407
dykgtGv8ozs,3,Center,0.39197639907687076,0.0010304911704520422,732,0.83337031116905
nHe10OZTQjo,3,Center,0.42962798001657854,3.614428318815704e-05,146,-0.8912427588804301
w6l5J-0raaM,0,Lean Right,0.6973720230074574,0.0010376116537678315,1127,2.7916519875432537
0i-tvsljdrU,1,Lean Right,0.5735860030075752,0.0016881499085698573,842,3.2887276974527855
6L-bgVXEHfk,0,Lean Right,0.783626101252749,5.022923342163963e-05,172,1.3902111987789032
83NivFtJe6s,2,Left,0.7256484527434716,4.2756825393441294e-05,98,1.006351228265867
AV2CgKP6xyo,0,Lean Right,0.5359493142458016,9.943996880780329e-05,162,-0.08933861007243879
AVxQ9B4pVWk,2,Left,0.7757854256865303,0.00023275922538439753,304,1.7008798863303534
AsODg8vLFRc,0,Lean Right,0.6543498840858732,2.440167286410177e-05,66,0.5161887358520976
BhEL9Fi74eA,1,Lean Right,0.6094182454155785,0.0008249716682841627,782,1.8116532111856647
EXkVPptIrr8,2,Left,0.7043352725636851,0.0008476312602957432,812,2.4606793034140986
J4HxrVJvAGc,2,Left,0.7240257861847748,0.0004905695970855706,773,1.8806656468329306
JnI69QegII0,0,Lean Right,0.6026638689478364,0.000117468739967553,341,0.37099628777603283
NUuYI7-yslw,0,Lean Right,0.6278138238011254,0.00020502336749665732,288,0.7040687157695298
Ny_06WGo7Vc,2,Left,0.5369329573776462,2.2323022917850383e-05,137,-0.2354194200398083
Om_UoqEpG9M,3,Left,0.6487717397061313,0.0007810507913080984,306,1.9754213954170763
PMjKvP8NSeU,1,Lean Right,0.6228166749747495,2.4218767391897563e-05,211,0.3150801065002373
Si8chEsEr2M,0,Lean Right,0.5037056244650697,0.00010273308817077863,304,-0.2881035010857347
V5SNn6xYX-U,0,Lean Right,0.4421806829586319,6.716120996003578e-05,288,-0.7500562240126377
_2yarR129rE,0,Lean Right,0.5950341490267863,0.00032866711495377685,512,0.7396417500160412
aZPinXurk1M,3,Left,0.6297511286124673,0.0002521066692844428,198,0.8094140896203089
b8OzXmJXrFo,4,Lean Left,0.42762537448265503,0.0001497501919966402,538,-0.6795657110742536
e7-MIV523To,0,Lean Right,0.6108501842112665,0.00013170878451603896,289,0.45124306768379635
eLArGTv8tPI,0,Lean Right,0.47054283545042197,4.920978210260888e-05,345,-0.6049592267353007
n3Qw5GCwDhg,1,Lean Right,0.6509412378320174,0.0001443148602426687,174,0.7313745165746911
nNmLjZhKXp0,4,Lean Left,0.5296473308427571,9.238321572180218e-05,169,-0.14339888086807573
vVct3uP-Gxo,0,Lean Right,0.5940160125909604,0.0003670386294163565,1121,0.8089621869354762
ve_RAUMSu0k,1,Lean Right,0.6379961781779926,0.00012398954749642008,396,0.6088112107004243
vosWbFhdNqw,0,Lean Right,0.7114236477923827,1.1569131780595556e-05,119,0.8541823801427793
xVOFqGaSGkI,1,Lean Right,0.6471076162400624,0.002166769891138693,1344,4.702286024481986
y4FZikkIRCg,0,Lean Right,0.743860268212948,0.0,123,1.0378264221232805
0SLfCkXDAf8,3,Center,0.7374453198034057,0.009292984916430274,2361,19.3550828091392
4gQ-1vnHWg8,3,Center,0.13317817528801357,1.5331717123940203e-05,77,-2.8196218145175687
69ndkRkbMBk,3,Lean Right,0.641508686415827,8.54326819613223e-06,46,0.4031109206031074
DkiNJlDKmhU,3,Center,0.6966687315054105,7.336968808786565e-05,94,0.8823350503250853
EmLLlt76YqQ,3,Center,0.7147903244794597,0.0005162188078278821,528,1.872540152303995
FQniHA7zNp8,1,Lean Right,0.6888352773460984,0.005687471899571444,2215,11.92300586701786
GzkBhGOM6eM,3,Center,0.5640712009548466,0.00011743844743857839,196,0.12524708338410956
Ic_GIfcR1qc,0,Lean Right,0.5910067757085775,0.00014651793290643367,362,0.3541707504404192
