video_id,community,video_bias,participation,betweenness,degree,bridge_score
-a1gnBabYJ4,0,Right,0.7216773732521395,6.836804080563826e-06,830,1.2167669651309023
09QS4_-s3c0,1,Lean Right,0.49754572548796583,8.311470688026028e-05,8727,0.7996560333986523
2fBwvk7l2jI,1,Lean Right,0.2789167099869643,7.304086531789193e-05,4315,-0.8036280120571841
4T4STq7STbk,2,Center,0.6946241472608577,7.488969763933621e-05,2422,1.999812048750668
4qvQgf8mSpw,1,Lean Right,0.37803771076536574,5.0936445671409894e-05,3901,-0.4544692010363144
5CuNtgXtlRo,1,Lean Right,0.40670768164782456,0.00016848754025109382,11391,1.4018571185883544
6kzRJ8q7XNE,1,Lean Right,0.4656076522941396,0.00011642712746342912,7168,1.0580631540441734
AM0tWkfAR2Q,1,Lean Right,0.3496757843225978,0.00012657188545542618,6057,0.4272186449488514
EJK2JveCAbI,1,Lean Right,0.586391938137065,0.00024776137281414456,10681,3.7249868275952314
FLnivak8A14,1,Lean Right,0.604510043517428,0.0002992852284278081,12574,4.575723961119303
GFCK0pCmCpc,1,Lean Right,0.23423775717082596,6.5162996474328684e-06,2201,-2.044256559812785
HcZDAibtPDQ,1,Lean Right,0.3960947249204697,9.498310512132722e-05,10353,0.289965865874518
IHGrNzs1tjM,1,Lean Right,0.5875724222293293,0.0005427642577403746,12005,7.910778293734369
Ij6mzMi8LJ8,1,Lean Right,0.5463766801166776,0.00019250217597945594,10470,2.675058452406825
IppThYR8S9s,1,Lean Right,0.5064908908584749,0.00025106124888599765,4448,3.237917932593353
KWy27Igd7PQ,3,Lean Left,0.5008094141896514,0.0002668547394851573,9305,3.4236325256047846
Kzxf9TcJ_3k,1,Lean Right,0.4188558290513965,0.00019053349483317398,9222,1.795236750429536
L2J7DeK2YyQ,1,Lean Right,0.4688563129242945,9.828490942804177e-05,6151,0.8228321468427356
MMzkGbivfco,1,Lean Right,0.5653090044351649,0.00014942659779750787,8931,2.191494293238363
QVw0xxj7itk,1,Lean Right,0.3002654351428028,1.4422040251277287e-05,2196,-1.491176054320225
