video_id,community,video_bias,participation,betweenness,degree,bridge_score
sJENtp_-j1U,2,Left,0.6854359829452285,9.95525653317535e-05,10590,2.1138078578493116
tMFVdbAYujA,3,Center,0.7071203119624887,1.6558411834636522e-05,1393,0.9939087512158821
y-tdb678Ovo,0,Lean Left,0.6466874511211184,0.0004922331248088751,17424,7.813564263718984
-2qZSphBavc,2,Left,0.5266947901562027,1.259154006786648e-05,2639,-0.1993858823799106
0dGJhbiTKdQ,0,Lean Left,0.4842810933122905,9.699781824627906e-05,11081,0.8116837928548011
0n3rvTN_XHs,2,Left,0.661887682747099,0.0001327440820566999,13746,2.468246993079659
1GxvjlDYA84,0,Lean Left,0.5535835769433746,0.00011468059778027966,6882,1.5145994051571556
24eS7UPzEy8,3,Center,0.3833513377538509,7.928286126022985e-07,880,-1.2783004105953204
2PZMIiYO51M,3,Center,0.7391643131359062,0.00012827330304229786,8666,2.8859590040811183
3VS6EZ1mnAA,0,Lean Left,0.46160694443463235,9.03508261539114e-05,6798,0.5686661267838677
6t-DbezjINA,2,Left,0.6252665416035439,0.00022812911893867503,10594,3.681861024720489
86eBOASXOz4,0,Lean Left,0.6224611536378014,0.00014544665689344776,14890,2.41285882362768
8QVTUezX6zE,2,Left,0.621860717479499,8.517032601864359e-05,9886,1.4968180101406707
8VeIornzAgk,2,Left,0.6199545594497804,5.8653341519830817e-05,6853,1.0835164615190938
8xkElzN2fDM,2,Left,0.4973418281928812,3.4600499709868124e-05,5852,-0.050651587196970965
9n45v4L_Ol4,1,Right,0.3540278149734597,8.856010132018288e-07,361,-1.4610780443074023
AEOnfZ6P2jk,3,Center,0.7078084788159918,4.2975860434039964e-05,7815,1.3980536144226472
BrRiPPn-XVw,2,Left,0.6008328925394086,4.533326275045011e-05,9423,0.7618162678467484
CJJjDSbhfTw,2,Left,0.6183150901729555,5.309604711190912e-05,11233,0.9891104470676055
DSOr3Si3xOs,1,Center,0.6698115659693982,1.4126185098400113e-05,1414,0.7227604205406686
ENDTX7_WmTg,0,Lean Left,0.5579546925928349,0.00019619680101397042,13837,2.7757848987145524
FmGw2uOU_Ao,2,Left,0.5815761085700177,3.0795397645007714e-05,6385,0.4208364633664904
Fw-dJGZo9PE,2,Left,0.6915729816759735,2.681914624983357e-05,6049,1.0515496455136206
G8hnDuPlLI4,2,Left,0.6870176409826584,4.9203810182948057e-05,11069,1.3617245776091131
GwtlP-60n5w,0,Lean Left,0.5195046415438811,0.00010750324513911,13430,1.191921117151808
HIQVqlYNqxU,0,Lean Left,0.41699659758234864,2.803581530495057e-05,8047,-0.6546569411138449
HnljGHVld9I,0,Lean Left,0.545372596671357,1.2764795281393096e-05,11767,-0.0794479671505543
ILfwFufOlIE,2,Left,0.597385092832119,6.364339331364047e-05,7944,1.0172804936868673
IqFDGGH4iBA,3,Center,0.7081577593921784,0.000162782200233761,6175,3.213490949862989
K6hdLNcOeUE,2,Left,0.5919572728741518,0.0001043694619789627,9433,1.5995686267440332
KrRXOo5iP0Q,2,Left,0.5538944761038856,1.4192925397746019e-05,6585,-0.00430739962704596
LVQNQ870oTY,0,Lean Left,0.5141683483552049,0.00025793420724117607,12256,3.435144383712289
MRw25Fwu9w4,3,Center,0.6469528396732506,4.782238888618743e-06,613,0.4377655919280177
MZfgShZja6I,3,Center,0.5873793148494891,1.1265987651658736e-06,2165,0.008255569192668566
N2nOk6tl3UA,2,Left,0.5053034631579205,3.377331846083289e-05,5019,-0.01316358642165888
NG3YuZORXnY,2,Left,0.6144906395220593,9.161974855210619e-06,7266,0.3001561357764435
NXDf9v6nVPY,0,Lean Left,0.4765198293070132,0.0001246313752030351,8148,1.1811631271481846
Nm-9UHKo9kg,0,Lean Left,0.5716023160202257,9.06159842806955e-05,11830,1.2635627097347002
ONFGgSQb7Os,0,Lean Left,0.5676885814690689,0.00033796915816636556,15592,4.982618181005578
PJtzbwvMEXY,0,Lean Left,0.6064792748169417,9.386453286659492e-05,13796,1.5317917865684076
PMMRqOXeSi0,0,Lean Left,0.5605942483429392,4.4031872213504505e-05,9922,0.48938014443583155
Q6VUVcRl0Pk,3,Center,0.6984961762168038,9.836669350300837e-06,6664,0.8380082110389249
Q7sO4DJdr5s,2,Left,0.6038448925762768,3.059450371810749e-05,8001,0.5576667234688661
QKijFJTOl4A,3,Center,0.6721831288155693,4.2494568106529925e-06,2024,0.5881740775878191
QswOr9gurSc,2,Left,0.634836033116051,3.4718292430643044e-05,6815,0.8147354593682427
R7Is5mR_dv4,2,Left,0.6171097608552925,1.8970211364088717e-05,7264,0.4650524728804993
RJiOgyIH0IQ,0,Lean Left,0.5700431316388657,0.0004818114079207558,15490,7.174429051051203
RgXd4isqhOc,0,Lean Left,0.6003619029498294,0.00010298327619128784,13323,1.6313786751339707
Rq0ZkqBRvgA,3,Center,0.6912740758627238,3.941805511203256e-05,3377,1.2403540197691194
SBtNdv-c9Ms,3,Center,0.6611297049561475,4.965718763863301e-07,3679,0.46194815081375473
SJlO10cAQWc,0,Lean Left,0.5857937765276613,0.00013499755258872823,9540,2.0244052071795036
SLIFuZutnsU,0,Lean Left,0.5075075333632693,0.00014202784794074055,12404,1.6390895309175832
Sed0MmigLaA,3,Center,0.5572795013451096,2.1226906863382606e-05,2285,0.12341183702630909
Slx0SvaU3xU,0,Lean Left,0.6018782679284514,0.00026635512589663195,13792,4.113501230173901
TEvaN_F4iiE,0,Lean Left,0.5334075827519107,0.00016106842381579493,8961,2.0899434097783383
TU7voXtBTko,1,Lean Right,0.5019152737528221,7.419849386200129e-05,10731,0.5773815576578968
UAndHqtIjr4,1,Lean Right,0.4484196393023041,5.852957784779561e-05,11669,0.00422852683291991
UXPm1qesMp4,3,Center,0.5804462986097294,3.6468691665288005e-06,358,0.0028528909713209094
UknrqUX4rA4,3,Center,0.5859823127877761,1.667702226651197e-05,556,0.23483332245042499
Uyo2zpFVvoA,0,Lean Left,0.5264955194012866,0.0002035706115188128,16490,2.6897901600243057
VvF4pzi8X6U,0,Lean Left,0.5890274674357878,0.000130385287456359,15104,1.9749104417567205
WhHwcGwYwvs,3,Center,0.6976603378862993,2.8879030569895166e-06,1523,0.7275901898126966
WhqUqLzWrMw,3,Center,0.500281129134948,9.236902063604265e-07,1028,-0.5418811261384652
Wwv_HzPQ5AU,0,Lean Left,0.5442734796795161,3.548242573034318e-05,8703,0.257474963358519
XrM2BsC2Px8,2,Left,0.566305316885182,9.31354762712497e-05,6613,1.2684241116760435
Y3gn-Txzgy4,3,Center,0.6202207227812487,5.185206119255659e-08,638,0.19826714841389836
ZbgEadz0bhg,0,Lean Left,0.4829882569840802,4.258799565210529e-05,11970,-0.01991764580694165
_LUnItIsrDY,3,Center,0.6807111794193145,5.388831950374404e-05,2452,1.393012599972539
bhtMSQ7F0PU,0,Lean Left,0.5571865360730694,0.00011040355071758499,14540,1.4724974762246528
bjnWAu9WRgw,0,Lean Left,0.5513488156578163,5.1933608634657266e-05,6819,0.5509004698186211
ciBJ4Z3EQM0,2,Center,0.6724897107501995,3.9118199117307136e-05,4739,1.1178307316040534
cr_fu0xXgXw,2,Left,0.5023277791660803,1.315413409195097e-05,4338,-0.3439209005444781
dWMEqET1D-E,0,Lean Left,0.519937950837499,5.2411407957860056e-05,15052,0.3608394931749448
eSRuF4FvZBY,3,Center,0.6882305644932208,0.00013686132951545824,8599,2.6960209075837023
eTmVq6EmIg4,0,Lean Left,0.630349653549586,0.00021496828658151124,12962,3.51460176705619
eoieZtAxzi4,0,Lean Left,0.5589763880944418,0.0002882868590215421,10268,4.1759656521537405
foGZQJrBRVs,2,Left,0.5377177819564465,5.464793539328782e-06,2213,-0.23801201052665172
gxkDb0u556s,2,Left,0.5581864482521719,5.527359893729047e-05,6811,0.644397841708497
ivIj3Cc_wkg,0,Lean Left,0.5920984198855861,0.00015056821783659123,15595,2.2996635278440376
lCDG3Vs9SnQ,3,Center,0.6828355709137128,2.39790471855461e-05,4612,0.9536854707191805
m_iHhIrZiDQ,2,Left,0.6011448535972338,4.5157904142867285e-06,6888,0.14601193166818277
mgZTHcOk2yQ,0,Lean Left,0.5205519439787246,4.571252515651962e-05,13957,0.2633098304848659
qjnCzndE5XE,0,Lean Left,0.6254991039631097,0.00021041784627762777,16958,3.4152654058935004
qmAsSFxQgNU,2,Left,0.5936636171698383,3.2395431878243966e-05,9322,0.5209745623777257
qvAg5u8wsA0,2,Left,0.6065805119993234,4.044419454082331e-06,4813,0.17301932839135115
r5gio82Sdro,0,Center,0.5879552885182404,0.0,1790,-0.005177559810319088
rZvS9zIezwc,3,Center,0.6304124228996009,8.798478836467738e-06,509,0.3946597901337835
rnM1H2RYzzU,0,Lean Left,0.551374889205079,7.514413294747243e-05,9635,0.9023505920062741
togGxMPoMIE,2,Left,0.6090380002368507,3.07825844827468e-05,7583,0.5931313151122471
vz8Id_v6b00,0,Lean Left,0.4811529799341796,1.2526331262215404e-05,5921,-0.48642196632369794
wDrFU_1pqAk,2,Left,0.6061391788381753,3.672252251742892e-05,9029,0.6648234509318
wJcmOhDjztc,3,Left,0.732450278883118,0.00022765109861989227,4062,4.347849819754307
wUq6qB3BYUU,2,Left,0.5903171004416521,4.8605648424092855e-05,7529,0.7452931964937325
wcRQcKG9raI,0,Lean Left,0.41838321485714325,0.00011695863298117572,6546,0.6998803849859929
wqTzMIIti84,1,Lean Right,0.48147389183437284,0.00015175141756166213,13087,1.622735786928681
wwn5gXA5ih8,3,Center,0.2306285215731173,2.421626725867812e-06,2514,-2.212904435266804
xFdz3u7DIG4,3,Center,0.7029892020702864,5.4418649522197745e-05,5138,1.540967807256211
yfE6PRD1vL8,2,Left,0.5682184127353714,1.0739093006262443e-05,6988,0.03338855803255125
youen3KDX_k,0,Center,0.6526985450992855,1.77436936580483e-05,4011,0.6700233643462241
z6rtHJZozic,2,Left,0.5633479882120773,2.582978200713811e-05,6785,0.2311916805555955
zWDBziW1wCE,0,Lean Left,0.5860119291852008,0.0001328940369318019,14920,1.9939391665568063
z_Gd2qLhxWs,0,Lean Left,0.6859835749039909,0.00016416103885512432,12593,3.095082814177502
