video_id,community,video_bias,participation,betweenness,degree,bridge_score
6OQAHcB72dg,0,Center,0.6859889664750589,1.0445431429644897e-05,15,0.8544072706594061
8LqoLBQ68Uw,0,Center,0.4005187179437534,0.030507702661975316,459,12.914807670307061
DHlIhvOoXQw,1,Center,0.4727871633355146,0.00045862960575496626,42,0.12325769182759855
dIbEdgv1Kmc,2,Left,0.6201679809003183,0.0005570039157987023,36,0.8067117753239532
hOUvgPsiAFc,3,Left,0.5142527189027977,0.00033951667811112334,33,0.251525906284422
ppA_Mqz1A7g,0,Center,0.11655333117064137,0.000952350959639429,59,-1.2096794367482842
v4jYoCxpWkE,0,Center,0.5379258471713668,0.03913905900056593,481,17.276500532690317
nzAiFIzHB6I,0,Center,0.19706073278186453,0.0015723698576106337,110,-0.5893609203831838
B42ujUDcbrA,2,Left,0.678674,0.00023282342629158873,28,0.9196030873568741
H-DSfvYCKwY,1,Center,0.6747954545710666,0.0328950859070387,495,15.148110445389177
gEnxa6OdEEI,1,Left,0.7444876271967548,0.00020566763240494352,14,1.1937996097742385
hOiwNvNI8kg,4,Lean Right,0.5679438627756739,2.145735168118469e-05,5,0.3461604195626707
i_4-BqSIUD8,4,Lean Right,0.7318229983403048,0.04150958699882879,419,19.153104937602134
uSCeUvi9kcM,1,Left,0.525065531346523,0.0010622245668841226,51,0.6137235513923622
5FP0U1bKags,0,Center,0.25007947752375637,0.00047849574998329303,44,-0.8360137317212923
LmdiqB_8l2k,0,Right,0.7560291701719021,0.0008729257320636333,50,1.5349805279565543
N708P-A45D0,5,Center,0.6745840473471595,0.01686213586963256,241,8.154558607723995
cz0u2FH5Bnk,3,Center,0.632727741455628,0.005535405976289019,197,3.032586380723041
dn-8DG_CKso,3,Center,0.7447926351718401,0.00242400853282616,70,2.1626355106368944
eHx5j9iQxJY,4,Left,0.7726144562508199,0.0018290285437405755,52,2.024059779234764
krsIsC9Pi5Q,3,Left,0.7606168307140376,0.001227057852614279,54,1.7093711680937516
r7OZGtudqyI,4,Lean Right,0.32510270591212576,0.000599353662156331,89,-0.4572353838929252
rs-mY-qa0cM,3,Left,0.09735739620193085,2.7742350251474735e-06,31,-1.7072588372791944
s4n9_c9Q_ow,3,Left,0.4672672125311498,0.0003719687879362904,33,0.061470420256405756
MqFY8OBrCFE,0,Center,0.6039688201876072,0.0,7,0.49337425330417795
1l8SnX3H-7s,0,Center,0.23353335086949867,0.003937815094752531,137,0.6008255418145776
2ZGcb-rVoEc,0,Center,0.37237612593571046,0.0023224046557218637,96,0.49971899008274734
5ZUp-vKxvrM,0,Center,0.24735084917985195,4.0898674377615796e-05,5,-1.0387271360051118
7oP1WToagUA,0,Center,0.16293857885414675,0.002997687942122029,100,-0.11602299506853264
ITfn1XOwZVo,0,Center,0.4358087573367222,0.0008106724937319544,45,0.11608199715284165
MHloJQr75ys,0,Center,0.4749507646195733,8.848532248592732e-05,11,-0.028774067981297835
PTJW6rApozk,0,Center,0.14735037485853963,0.006736923587114504,223,1.4470627004910872
d3dZo52ParI,0,Center,0.06341372457291117,0.000728513059249646,60,-1.53826065588511
l6cC-5iqDpU,0,Center,0.09672652854545616,0.00011184300944907742,32,-1.6624313186366695
ns_UFyzI3uU,0,Center,0.10457664434208347,0.00510079178683714,175,0.5475740095968582
3kL1h5ZkpFI,5,Lean Left,0.7595746033454848,0.004410861639101879,62,3.093430011316337
86zeY8VIatA,1,Lean Right,0.4697252290996795,0.0027291684506354497,149,1.100225815835015
9OrU6G2tRaQ,0,Center,0.3980362330827846,0.012946146536003886,198,5.244696862223827
ENvrpt50-fg,0,Center,0.0,0.0,2,-2.131605140672774
GJOV_cN-JP8,2,Lean Left,0.672178414600543,0.002306793192445518,52,1.7959159092010704
UCyvyyo6dtQ,5,Center,0.6780441565174287,0.000677541520343189,34,1.1108256160222176
ctvV93bfOvQ,1,Lean Right,0.10416873623545231,0.0006981407534923862,82,-1.3743771616075637
jSCiSEEax-o,1,Right,0.6626836569211242,0.005053346746228159,47,2.952535302161759
mpvz7w6ilNk,2,Center,0.6835446784277911,0.006850338190837308,184,3.8269441583188986
s-0BmqyWJ30,0,Left,0.6008330922067902,2.2113921253350674e-05,15,0.48939049609334606
6byG3kpajIo,2,Center,0.5958571540449527,0.0,4,0.45811919416275626
9MUZeNOd3No,3,Lean Right,0.5248862537711563,0.00039730912192674234,40,0.32294722990620833
U3ss7EsfWNE,2,Center,0.20423426757927732,0.0010119385652575452,45,-0.8026104627780684
YKRY595JZu4,1,Lean Left,0.7015069068662525,0.0005381030260895956,31,1.1519849164057705
