video_id,community,video_bias,participation,betweenness,degree,bridge_score
6EvQ4N3h31E,0,Lean Left,0.46141242188774734,0.00013919250880617154,1170,0.5761915651296965
9VczjNsFOnA,1,Lean Right,0.3939646091278102,5.2968975899657226e-05,666,-0.15860112634757406
D2SAv00rsBk,1,Lean Right,0.07844547346266373,7.400033624027507e-05,350,-1.739158126757123
GxFHaWtTLUo,1,Lean Right,0.24305369626802598,2.690561292588046e-06,405,-1.1785645825438111
K2w8oHimqlU,2,Left,0.6827242855863119,6.567993837104296e-07,110,1.1432416910307666
Mwi8zeJyFGQ,0,Lean Left,0.49284011717746357,0.00034234617377343053,1799,1.6316402192086326
NvXozanR3xQ,1,Lean Right,0.4621388487244964,2.7627166886405016e-05,134,0.09191522895510734
QQKKXvwe2SU,1,Lean Right,0.5098187823996186,1.4419977143987112e-05,209,0.2868828579425152
STRp7ZozMMs,0,Lean Left,0.4198619304759489,1.1361475484660675e-05,352,-0.20336233939356424
VdHobvARXYc,2,Left,0.569881683346485,1.6681401301503734e-05,754,0.6151720731646273
YV4TxRsAUEk,1,Lean Right,0.25352617487319073,3.88109890235814e-06,293,-1.1178408092281158
cWHuWxeH9gU,3,Left,0.1854424822316324,1.66195117243406e-05,287,-1.4230202815478532
cYhnnN1eLxM,3,Left,0.5093621386431495,0.0008587950822614773,1073,3.9788210194294686
d7J6wFa-vYc,3,Center,0.7617880113933542,0.0008464588344803784,657,5.262962455713539
kqAkTU3pHOY,1,Lean Right,0.12454301830448822,5.878664295238397e-07,110,-1.8159924061952477
nF-xg5ybvaw,1,Lean Right,0.3909771527808863,4.424211710773374e-05,699,-0.2126199630192822
q9p7YxBS5s4,1,Lean Right,0.0318969683309408,0.00013462081508981957,813,-1.7206826581908594
rKJeE_oxqk0,1,Lean Right,0.38230374307543424,1.50516525434036e-05,325,-0.38631372960384497
rTei5Mulp10,1,Lean Right,0.46212274231849804,0.0001872926713470701,1177,0.7904076067289012
rfdI7girYuc,1,Lean Right,0.19740604968953568,0.0001158855553893889,566,-0.9252865781655097
s_fELo5m8PM,2,Lean Left,0.46447459808241887,6.370672239334507e-05,806,0.26215445312697916
uHX031UoCXA,2,Left,0.4519157984304095,4.053881439362453e-05,1224,0.0942143778993936
04axDDRVy_o,3,Left,0.1988660108690542,0.0003924360045479153,628,0.29243224640732435
3Om4kr3nhsk,3,Left,0.2195123015360776,2.8436377708531596e-05,381,-1.1907135031766776
